REF DU MUSEE,NOM DU MUSEE,Année,REGION,VILLE,PAYANT,GRATUIT,TOTAL,ID MUSEOFILE,NOMDEP,Identifiant Muséofile,Adresse,Code Postal,URL,Latitude,Longitude,geolocalisation
7511601,Musée d'Ennery,2019,ILE-DE-France,PARIS,0,710,710,M5040,PARIS,M5040,"59, avenue Foch",75116,www.guimet.fr/,48.871845,2.281997,"48.871845, 2.281997"
7510402,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2020,ILE-DE-France,PARIS,648090,264713,912803,M5050,PARIS,M5050,Place Georges Pompidou,75191,www.centrepompidou.fr/,48.86080432275963,2.3522235406355176,"48.86080432275963, 2.3522235406355176"
7510402,Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou),2019,ILE-DE-France,PARIS,2411346,984916,3396262,M5050,PARIS,M5050,Place Georges Pompidou,75191,www.centrepompidou.fr/,48.86080432275963,2.3522235406355176,"48.86080432275963, 2.3522235406355176"
7510306,"Musée Cognacq-Jay, Musée du XVIIIe siècle de la ville de Paris",2019,ILE-DE-France,PARIS,18000,48307,66307,M1107,PARIS,M1107,8 rue Elzévir,75003,www.museecognacqjay.paris.fr/,48.858257,2.361524,"48.858257, 2.361524"
7510306,"Musée Cognacq-Jay, Musée du XVIIIe siècle de la ville de Paris",2020,ILE-DE-France,PARIS,0,21365,21365,M1107,PARIS,M1107,8 rue Elzévir,75003,www.museecognacqjay.paris.fr/,48.858257,2.361524,"48.858257, 2.361524"
7510305,Musée National Picasso,2019,ILE-DE-France,PARIS,411575,217737,629312,M5043,PARIS,M5043,"5, rue Thorigny",75003,www.museepicassoparis.fr/,48.8597,2.362644,"48.8597, 2.362644"
7510305,Musée National Picasso,2020,ILE-DE-France,PARIS,62709,52699,115408,M5043,PARIS,M5043,"5, rue Thorigny",75003,www.museepicassoparis.fr/,48.8597,2.362644,"48.8597, 2.362644"
7511202,Établissement Public de la Porte Dorée - (MNHI - Aquarium - Palais),2019,ILE-DE-France,PARIS,224318,301276,525594,M5084,PARIS,M5084,293 Av. Daumesnil,75012,www.histoire-immigration.fr/,48.836753,2.390394,"48.836753, 2.390394"
7511202,Établissement Public de la Porte Dorée - (MNHI - Aquarium - Palais),2020,ILE-DE-France,PARIS,108642,111070,219712,M5084,PARIS,M5084,293 Av. Daumesnil,75012,www.histoire-immigration.fr/,48.836753,2.390394,"48.836753, 2.390394"
7510702,Musée des Plans-Reliefs,2019,ILE-DE-France,PARIS,172901,2800,175701,M5071,PARIS,M5071,129 rue de Grenelle,75007,www.museedesplansreliefs.culture.fr/,48.858219,2.312885,"48.858219, 2.312885"
