region,ville
MIDI-PYRENEES,SAINT-ANTONIN-NOBLE-VAL
NORD-PAS-DE-CALAIS,DESVRES
NORD-PAS-DE-CALAIS,SAINT-OMER
BASSE-NORMANDIE,ORBEC
BASSE-NORMANDIE,AVRANCHES
BASSE-NORMANDIE,SAINT-SAUVEUR-LE-VICOMTE
BASSE-NORMANDIE,SAINT-CYR LA ROSIERE
HAUTE-NORMANDIE,LES ANDELYS
HAUTE-NORMANDIE,EU
PAYS DE LA LOIRE,BOURGNEUF-EN-RETZ
PAYS DE LA LOIRE,MAYENNE
PAYS DE LA LOIRE,LES LUCS-SUR-BOULOGNE
PICARDIE,CHATEAU-THIERRY
PICARDIE,HIRSON
PICARDIE,MERU
PICARDIE,PERONNE
POITOU-CHARENTES,POITIERS
PROVENCE-ALPES-CÔTE D'AZUR,FORCALQUIER
PROVENCE-ALPES-CÔTE D'AZUR,LE CANNET
PROVENCE-ALPES-CÔTE D'AZUR,MENTON
PROVENCE-ALPES-CÔTE D'AZUR,CARPENTRAS
PROVENCE-ALPES-CÔTE D'AZUR,VAISON-LA-ROMAINE
RHONE-ALPES,ANNONAY
RHONE-ALPES,SERRIERES
ALSACE,SAVERNE
ALSACE,WINGEN-SUR-MODER
ALSACE,NEUF-BRISACH
AQUITAINE,BERGERAC
AQUITAINE,MUSSIDAN
AUVERGNE,LAVAUDIEU
AUVERGNE,LE PUY-EN-VELAY
AUVERGNE,ARLANC
BOURGOGNE,SAULIEU
BOURGOGNE,NEVERS
BOURGOGNE,MACON
BOURGOGNE,AVALLON
BOURGOGNE,VILLIERS-SAINT-BENOIT
BRETAGNE,CONCARNEAU
BRETAGNE,BREC'H
BRETAGNE,PORT-LOUIS
CENTRE,DREUX
CENTRE,ILLIERS-COMBRAY
CENTRE,ARGENTON-SUR-CREUSE
CENTRE,LOCHES
CORSE,CORTE
FRANCHE-COMTE,FOUGEROLLES
ILE-DE-FRANCE,BRUNOY
ILE-DE-FRANCE,CLAMART
ILE-DE-FRANCE,ISSY-LES-MOULINEAUX
ILE-DE-FRANCE,COULOMMIERS
ILE-DE-FRANCE,VITRY SUR SEINE
ILE-DE-FRANCE,MONTMORENCY
LA REUNION,SAINT-LOUIS
LANGUEDOC-ROUSSILLON,BRAM
LANGUEDOC-ROUSSILLON,SAINT-GILLES-DU-GARD
LANGUEDOC-ROUSSILLON,CERET
LORRAINE,JARVILLE-LA-MALGRANGE
LORRAINE,PHALSBOURG
LORRAINE,SARREGUEMINES
MIDI-PYRENEES,LE MAS D'AZIL
MIDI-PYRENEES,DECAZEVILLE
MIDI-PYRENEES,L'ISLE JOURDAIN
MIDI-PYRENEES,FERRIERES
MIDI-PYRENEES,MOISSAC
NORD-PAS-DE-CALAIS,LEWARDE
NORD-PAS-DE-CALAIS,ROUBAIX
NORD-PAS-DE-CALAIS,SAINT-AMAND-LES-EAUX
NORD-PAS-DE-CALAIS,CALAIS
BASSE-NORMANDIE,PONTECOULANT
BASSE-NORMANDIE,EQUEURDREVILLLE-HAINNEVILLE
HAUTE-NORMANDIE,LA COUTURE-BOUSSEY
HAUTE-NORMANDIE,MONTVILLE
PAYS DE LA LOIRE,BLAIN
PAYS DE LA LOIRE,LE PALLET
PAYS DE LA LOIRE,SAINT-HILAIRE-DE-RIEZ
PICARDIE,VERVINS
PICARDIE,CHAUMONT-EN-VEXIN
POITOU-CHARENTES,MARANS
POITOU-CHARENTES,PARTHENAY
POITOU-CHARENTES,LUSSAC-LES-CHATEAUX
POITOU-CHARENTES,MONTMORILLON
PROVENCE-ALPES-CÔTE D'AZUR,PUGET-ROSTANG
PROVENCE-ALPES-CÔTE D'AZUR,FONTVIEILLE
PROVENCE-ALPES-CÔTE D'AZUR,LE POUVEREL LA GARDE
PROVENCE-ALPES-CÔTE D'AZUR,SAINT-RAPHAËL
RHONE-ALPES,PEROUGES
RHONE-ALPES,VAL-REVERMONT
RHONE-ALPES,VASSIEUX-EN-VERCORS
RHONE-ALPES,ALLEVARD-LES-BAINS
